Allergy_Free_Text_Description	Mention	Use Count	DECISION	Comment	RxNorm_CUI	RxNorm_Name	RxNorm_Semantic_Group_Abbreviation	RxNorm_Semantic_Group_Name	NDFRT_Code	NDFRT_Full_Name	NDFRT_Semantic_Group_Abbreviation	NDFRT_Semantic_Group_Name	UNII_Code	UNII_Display_Name
Codeine,Erythromycin,Amoxicillin	Erythromycin	2	Map		4053	Erythromycin	CHEM	Chemicals & Drugs	N0000007133	Erythromycin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	63937KV33D	ERYTHROMYCIN
codeine,penicillin,acetaminophen	acetaminophen	1	Map		161	Acetaminophen	CHEM	Chemicals & Drugs	N0000007359	Acetaminophen [Chemical/Ingredient]	CHEM	Chemicals & Drugs	362O9ITL9D	ACETAMINOPHEN
codeine,penicillin,acetaminophen	codeine	1	Map		2670	Codeine	CHEM	Chemicals & Drugs	N0000006691	Codeine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	Q830PW7520	CODEINE
codeine,penicillin,acetaminophen	penicillin	1	Map		70618	Penicillin	CHEM	Chemicals & Drugs	N0000179370	Penicillin [Chemical/Ingredient]	CHEM	Chemicals & Drugs		
codeine?	codeine?	1	Map		2670	Codeine	CHEM	Chemicals & Drugs	N0000006691	Codeine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	Q830PW7520	CODEINE
codeinebreakout	codeinebreakout	1	Map	Suggest adding text annotation	2670	Codeine	CHEM	Chemicals & Drugs	N0000006691	Codeine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	Q830PW7520	CODEINE
codiene	codiene	64	Map		2670	Codeine	CHEM	Chemicals & Drugs	N0000006691	Codeine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	Q830PW7520	CODEINE
Codiene, amoxicillin	amoxicillin	2	Map		723	Amoxicillin	CHEM	Chemicals & Drugs	N0000005840	Amoxicillin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	804826J2HU	AMOXICILLIN
Codiene, amoxicillin	Codiene	2	Map		2670	Codeine	CHEM	Chemicals & Drugs	N0000006691	Codeine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	Q830PW7520	CODEINE
codine	codine	6	Map		2670	Codeine	CHEM	Chemicals & Drugs	N0000006691	Codeine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	Q830PW7520	CODEINE
codine, demerol, asa	asa	1	Map		1191	Aspirin	CHEM	Chemicals & Drugs	N0000006582	Aspirin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	R16CO5Y76E	ASPIRIN
codine, demerol, asa	codine	1	Map		2670	Codeine	CHEM	Chemicals & Drugs	N0000006691	Codeine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	Q830PW7520	CODEINE
codine, demerol, asa	demerol	1	Map		6754	Meperidine	CHEM	Chemicals & Drugs	N0000006387	Meperidine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	N8E7F7Q170	MEPERIDINE HYDROCHLORIDE
codoene	codoene	1	Map		2670	Codeine	CHEM	Chemicals & Drugs	N0000006691	Codeine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	Q830PW7520	CODEINE
coedine	coedine	1	Map		2670	Codeine	CHEM	Chemicals & Drugs	N0000006691	Codeine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	Q830PW7520	CODEINE
coffee	coffee	6	Map		891727	coffee bean allergenic extract	CHEM	Chemicals & Drugs	N0000178565	Coffee [Chemical/Ingredient]	OBJC	Objects	JFH385Y744	COFFEE BEAN
cola drinks	cola drinks	1	Map						N0000176009	COLA	CHEM	Chemicals & Drugs		
cold	cold	1	Do not map	Meaning unclear										
COLD MEDICINE	COLD MEDICINE	2	Map	Suggest adding text annotation					N0000029237	[RE000] RESPIRATORY TRACT MEDICATIONS	CHEM	Chemicals & Drugs		
collagen	collagen	2	Map		2714	Collagen	CHEM	Chemicals & Drugs	N0000006771	Collagen [Chemical/Ingredient]	CHEM	Chemicals & Drugs		
color dyes	color dyes	1	Map						N0000175533	Dyes [MoA]	PHYS	Physiology		
COLUSTROM BOVINE	COLUSTROM BOVINE	1	Map		1310253	Bos taurus colostrum preparation	CHEM	Chemicals & Drugs	N0000190928	COLOSTRUM	CHEM	Chemicals & Drugs	S256WJ3OFQ	BOS TAURUS COLOSTRUM
comadin	comadin	1	Map		11289	Warfarin	CHEM	Chemicals & Drugs	N0000179501	Warfarin Sodium [Chemical/Ingredient]	CHEM	Chemicals & Drugs	5Q7ZVV76EI	WARFARIN
combid	combid	3	Text annotation only	Meaning unclear										
compazine	compazine	29	Map		8704	Prochlorperazine	CHEM	Chemicals & Drugs	N0000005824	Prochlorperazine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	YHP6YLT61T	PROCHLORPERAZINE
compazine iv	compazine iv	1	Map		8704	Prochlorperazine	CHEM	Chemicals & Drugs	N0000005824	Prochlorperazine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	YHP6YLT61T	PROCHLORPERAZINE
compazine,codeine	codeine	2	Map		2670	Codeine	CHEM	Chemicals & Drugs	N0000006691	Codeine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	Q830PW7520	CODEINE
compazine,codeine	compazine	2	Map		8704	Prochlorperazine	CHEM	Chemicals & Drugs	N0000005824	Prochlorperazine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	YHP6YLT61T	PROCHLORPERAZINE
Contact	Contact	1	Do not map	Meaning unclear										
CONTACT GEL - EKG DISCS	CONTACT GEL - EKG DISCS	1	Map	Broader category, Suggest using original text as annotation					N0000135712	Gel [Dose Form]	CHEM	Chemicals & Drugs		
contact tablets	contact tablets	1	Map		8896	Pseudoephedrine	CHEM	Chemicals & Drugs	N0000178581	Pseudoephedrine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	7CUC9DDI9F	PSEUDOEPHEDRINE
contrast	contrast	7	Map		5933	Iodine	CHEM	Chemicals & Drugs	N0000180185	Radiographic Contrast Agent [EPC]	CHEM	Chemicals & Drugs	9679TC07X4	IODINE
contrast allergy	contrast allergy	2	Map		5933	Iodine	CHEM	Chemicals & Drugs	N0000180185	Radiographic Contrast Agent [EPC]	CHEM	Chemicals & Drugs	9679TC07X4	IODINE
Contrast Dye	Contrast Dye	50	Map		5933	Iodine	CHEM	Chemicals & Drugs	N0000180185	Radiographic Contrast Agent [EPC]	CHEM	Chemicals & Drugs	9679TC07X4	IODINE
Contrast Dye- iodine	Contrast Dye- iodine	1	Map		5933	Iodine	CHEM	Chemicals & Drugs	N0000175867	Iodinated Contrast Agent for Radiographic Imaging [EPC]	CHEM	Chemicals & Drugs	9679TC07X4	IODINE
CONTRAST IODINE, LIPITOR	CONTRAST IODINE	1	Map		5933	Iodine	CHEM	Chemicals & Drugs	N0000007802	Iodine Compounds [Chemical/Ingredient]	CHEM	Chemicals & Drugs	9679TC07X4	IODINE
CONTRAST IODINE, LIPITOR	LIPITOR	1	Map		83367	atorvastatin	CHEM	Chemicals & Drugs	N0000022046	ATORVASTATIN	CHEM	Chemicals & Drugs	48A5M73Z4Q	ATORVASTATIN CALCIUM TRIHYDRATE
Contrast IV dye	Contrast IV dye	1	Map		5933	Iodine	CHEM	Chemicals & Drugs	N0000180185	Radiographic Contrast Agent [EPC]	CHEM	Chemicals & Drugs	9679TC07X4	IODINE
contrasty dye	contrasty dye	1	Map		5933	Iodine	CHEM	Chemicals & Drugs	N0000180185	Radiographic Contrast Agent [EPC]	CHEM	Chemicals & Drugs	9679TC07X4	IODINE
cooking spray	cooking spray	1	Text annotation only											
copaxil	copaxil	1	Do not map	Meaning unclear										
copper	copper	1	Map		2837	Copper	CHEM	Chemicals & Drugs	N0000005747	Copper [Chemical/Ingredient]	CHEM	Chemicals & Drugs	789U1901C5	COPPER
corn	corn	4	Map	Close map	892547	corn allergenic extract	CHEM	Chemicals & Drugs					0N8672707O	CORN
corn syrup	corn syrup	1	Map		1310576	Corn syrup	OBJC	Objects	N0000023207	CORN SYRUP	OBJC	Objects	9G5L16BK6N	CORN SYRUP
corn/wheat	corn	1	Map	Close map	892547	corn allergenic extract	CHEM	Chemicals & Drugs					0N8672707O	CORN
corn/wheat	wheat	1	Map		1441652	Wheat preparation	CHEM	Chemicals & Drugs	N0000022803	WHEAT	CHEM	Chemicals & Drugs	4J2I0SN84Y	WHEAT
corned beef	corned beef	1	Text annotation only											
corticosteroids	corticosteroids	1	Map						N0000175576	Corticosteroid [EPC]	CHEM	Chemicals & Drugs		
cortisone	cortisone	3	Map		2878	Cortisone	CHEM	Chemicals & Drugs	N0000005905	Cortisone [Chemical/Ingredient]	CHEM	Chemicals & Drugs	V27W9254FZ	CORTISONE
cortisone cream	cortisone cream	2	Map		2878	Cortisone	CHEM	Chemicals & Drugs	N0000005905	Cortisone [Chemical/Ingredient]	CHEM	Chemicals & Drugs	V27W9254FZ	CORTISONE
cosmetics, sunscreen	cosmetics	1	Text annotation only											
cosmetics, sunscreen	sunscreen	1	Map						N0000009881	Sunscreening Activity [PE]	PHYS	Physiology		
cottage cheese	cottage cheese	1	Text annotation only											
cotton seed	cotton seed	1	Map	Close map	852440	cotton seed allergenic extract	CHEM	Chemicals & Drugs	N0000022511	ALLERGENIC EXTRACT, COTTON SEED	CHEM	Chemicals & Drugs	DI0ZRJ0MXN	COTTON SEED
Cotton wood spices walnuts	Cotton wood	1	Map	Close map	852363	eastern cottonwood pollen extract	CHEM	Chemicals & Drugs	N0000022519	ALLERGENIC EXTRACT, COTTONWOOD	CHEM	Chemicals & Drugs	476DVV63WP	POPULUS DELTOIDES SUBSP. DELTOIDES POLLEN
Cotton wood spices walnuts	spices	1	Text annotation only											
Cotton wood spices walnuts	walnuts	1	Map	Close map	314470	walnut allergenic extract	CHEM	Chemicals & Drugs	N0000146644	ALLERGENIC EXTRACT, WALNUT	CHEM	Chemicals & Drugs	1V3SHR7QB7	ENGLISH WALNUT
cough medicine bendryl	bendryl	1	Map		1362	Diphenhydramine Hydrochloride	CHEM	Chemicals & Drugs	N0000006794	Diphenhydramine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	TC2D6JAD40	DIPHENHYDRAMINE HYDROCHLORIDE
cough medicine bendryl	cough medicine	1	Map						N0000178319	Antitussive Agent [TC]	CHEM	Chemicals & Drugs		
Cough syrup	Cough syrup	1	Map	Suggest adding text annotation					N0000178319	Antitussive Agent [TC]	CHEM	Chemicals & Drugs		
COUMADIN	COUMADIN	3	Map		11289	Warfarin	CHEM	Chemicals & Drugs	N0000179501	Warfarin Sodium [Chemical/Ingredient]	CHEM	Chemicals & Drugs	6153CWM0CL	WARFARIN SODIUM
couscous	couscous	1	Map	Suggest adding text annotation	1441652	Wheat preparation	CHEM	Chemicals & Drugs						
Cow's Milk	Cow's Milk	1	Map		892665	cow milk allergenic extract	CHEM	Chemicals & Drugs	N0000022614	MILK	OBJC	Objects	917J3173FT	COW MILK
Cow's Milk,Bread, Sugar	Bread	1	Map		1441652	Wheat preparation	CHEM	Chemicals & Drugs	N0000022803	WHEAT	CHEM	Chemicals & Drugs	4J2I0SN84Y	WHEAT
Cow's Milk,Bread, Sugar	Cow's Milk	1	Map		892665	cow milk allergenic extract	CHEM	Chemicals & Drugs	N0000022614	MILK	OBJC	Objects	917J3173FT	COW MILK
Cow's Milk,Bread, Sugar	Sugar	1	Map	Suggest adding text annotation					N0000006170	Sucrose [Chemical/Ingredient]	CHEM	Chemicals & Drugs	C151H8M554	SUCROSE
cox 2 inhibitor	cox 2 inhibitor	1	Map						N0000008288	Cyclooxygenase 2 Inhibitors [MoA]	PHYS	Physiology		
COX 2 inhibitors	COX 2 inhibitors	1	Map						N0000008288	Cyclooxygenase 2 Inhibitors [MoA]	PHYS	Physiology		
coxibs	coxibs	1	Map						N0000008288	Cyclooxygenase 2 Inhibitors [MoA]	PHYS	Physiology		
cozaar	cozaar	1	Map		52175	Losartan	CHEM	Chemicals & Drugs	N0000005774	Losartan [Chemical/Ingredient]	CHEM	Chemicals & Drugs	3ST302B24A	LOSARTAN POTASSIUM
crab	crab	4	Map	Close map	892610	crab allergenic extract	CHEM	Chemicals & Drugs	N0000185020	Shellfish Proteins [Chemical/Ingredient]	CHEM	Chemicals & Drugs	1G4F72G3PH	SHELLFISH, UNSPECIFIED
crab meat	crab meat	5	Map	Close map	892610	crab allergenic extract	CHEM	Chemicals & Drugs	N0000185020	Shellfish Proteins [Chemical/Ingredient]	CHEM	Chemicals & Drugs	1G4F72G3PH	SHELLFISH, UNSPECIFIED
crabfish	crabfish	2	Map	Close map	892610	crab allergenic extract	CHEM	Chemicals & Drugs	N0000185020	Shellfish Proteins [Chemical/Ingredient]	CHEM	Chemicals & Drugs	1G4F72G3PH	SHELLFISH, UNSPECIFIED
crabmeat	crabmeat	3	Map	Close map	892610	crab allergenic extract	CHEM	Chemicals & Drugs	N0000185020	Shellfish Proteins [Chemical/Ingredient]	CHEM	Chemicals & Drugs	1G4F72G3PH	SHELLFISH, UNSPECIFIED
Crabs	Crabs	1	Map	Close map	892610	crab allergenic extract	CHEM	Chemicals & Drugs	N0000185020	Shellfish Proteins [Chemical/Ingredient]	CHEM	Chemicals & Drugs	1G4F72G3PH	SHELLFISH, UNSPECIFIED
cranberries	cranberries	1	Map	Close map	125933	Cranberry preparation	CHEM	Chemicals & Drugs	N0000148838	CRANBERRY EXTRACT	CHEM	Chemicals & Drugs	0MVO31Q3QS	CRANBERRY
cream	cream	1	Map	Close map	892665	cow milk allergenic extract	CHEM	Chemicals & Drugs	N0000022614	MILK	OBJC	Objects	463JZS0XJ3	COW MILK FAT
Crestor	Crestor	2	Map		301542	rosuvastatin	CHEM	Chemicals & Drugs	N0000148821	ROSUVASTATIN	CHEM	Chemicals & Drugs	83MVU38M7Q	ROSUVASTATIN CALCIUM
crustateans	crustateans	1	Map	Suggest adding text annotation	892610	crab allergenic extract	CHEM	Chemicals & Drugs						
C-Scan	C-Scan	1	Map						N0000180185	Radiographic Contrast Agent [EPC]	CHEM	Chemicals & Drugs		
CT contrast	CT contrast	1	Map						N0000180185	Radiographic Contrast Agent [EPC]	CHEM	Chemicals & Drugs		
CT dye	CT dye	4	Map						N0000180185	Radiographic Contrast Agent [EPC]	CHEM	Chemicals & Drugs		
CT iodine contrast	CT iodine contrast	2	Map		5933	Iodine	CHEM	Chemicals & Drugs	N0000175867	Iodinated Contrast Agent for Radiographic Imaging [EPC]	CHEM	Chemicals & Drugs	9679TC07X4	IODINE
Cucumber	Cucumber	2	Map	Close map	1305719	Cucumber extract	CHEM	Chemicals & Drugs					YY7C30VXJT	CUCUMBER
cucumbers	cucumbers	1	Map	Close map	1305719	Cucumber extract	CHEM	Chemicals & Drugs						
curare	curare	1	Map		1712	Botulinum Toxin Type A	CHEM	Chemicals & Drugs	N0000004422	Botulinum Toxins [Chemical/Ingredient]	CHEM	Chemicals & Drugs	E211KPY694	BOTULINUM TOXIN TYPE A
cured/processed meats	cured/processed meats	1	Text annotation only											
currently unable to assess allergies	currently unable to assess allergies	1	Do not map											
CURRY	CURRY	1	Text annotation only											
cycline drugs	cycline drugs	1	Map		10395	Tetracycline	CHEM	Chemicals & Drugs	N0000007948	Tetracyclines [Chemical/Ingredient]	CHEM	Chemicals & Drugs	F8VB5M810T	TETRACYCLINE
cyclobennzeprine	cyclobennzeprine	1	Map		21949	cyclobenzaprine	CHEM	Chemicals & Drugs	N0000005926	cyclobenzaprine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	69O5WQQ5TI	CYCLOBENZAPRINE
cyclodil	cyclodil	1	Map		3001	Cyclopentolate	CHEM	Chemicals & Drugs	N0000005939	Cyclopentolate [Chemical/Ingredient]	CHEM	Chemicals & Drugs	I76F4SHP7J	CYCLOPENTOLATE
cyclogel	cyclogel	1	Map		3001	Cyclopentolate	CHEM	Chemicals & Drugs	N0000005939	Cyclopentolate [Chemical/Ingredient]	CHEM	Chemicals & Drugs	I76F4SHP7J	CYCLOPENTOLATE
cyclosporin	cyclosporin	1	Map		3008	Cyclosporine	CHEM	Chemicals & Drugs	N0000007346	Cyclosporine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	83HN0GTJ6D	CYCLOSPORINE
cylert	cylert	1	Map		7966	Pemoline	CHEM	Chemicals & Drugs	N0000006778	Pemoline [Chemical/Ingredient]	CHEM	Chemicals & Drugs	7GAQ2332NK	PEMOLINE
cypral	cypral	1	Map		2551	Ciprofloxacin	CHEM	Chemicals & Drugs	N0000007046	Ciprofloxacin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	5E8K9I0O4U	CIPROFLOXACIN
dairy	dairy	5	Map		892665	cow milk allergenic extract	CHEM	Chemicals & Drugs	N0000022614	MILK	OBJC	Objects	917J3173FT	COW MILK
Dairy bees pollen dust	bees	1	Map		124427	Honey bee venom	CHEM	Chemicals & Drugs	N0000171465	Bee Venoms [Chemical/Ingredient]	CHEM	Chemicals & Drugs	76013O881M	APIS MELLIFERA VENOM
Dairy bees pollen dust	Dairy	1	Map		892665	cow milk allergenic extract	CHEM	Chemicals & Drugs	N0000022614	MILK	OBJC	Objects	917J3173FT	COW MILK
Dairy bees pollen dust	dust	1	Map		852519	house dust allergenic extract	CHEM	Chemicals & Drugs	N0000185012	House Dust [Chemical/Ingredient]	CHEM	Chemicals & Drugs	EYO007VX98	HOUSE DUST
Dairy bees pollen dust	pollen	1	Map						N0000185000	Pollen [Chemical/Ingredient]	CHEM	Chemicals & Drugs	3729L8MA2C	BEE POLLEN
dairy products	dairy products	10	Map		892665	cow milk allergenic extract	CHEM	Chemicals & Drugs	N0000022614	MILK	OBJC	Objects	917J3173FT	COW MILK
DAPRO	DAPRO	2	Map		32613	oxaprozin	CHEM	Chemicals & Drugs	N0000006323	oxaprozin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	MHJ80W9LRB	OXAPROZIN
Dapsone	Dapsone	3	Map		3108	Dapsone	CHEM	Chemicals & Drugs	N0000006908	Dapsone [Chemical/Ingredient]	CHEM	Chemicals & Drugs	8W5C518302	DAPSONE
darvocet	darvocet	5	Map		48274	Acetaminophen / Propoxyphene	CHEM	Chemicals & Drugs	N0000020133	ACETAMINOPHEN/PROPOXYPHENE	CHEM	Chemicals & Drugs		
darvocett	darvocett	3	Map		48274	Acetaminophen / Propoxyphene	CHEM	Chemicals & Drugs	N0000020133	ACETAMINOPHEN/PROPOXYPHENE	CHEM	Chemicals & Drugs		
darvon	darvon	13	Map		8785	Propoxyphene	CHEM	Chemicals & Drugs	N0000007689	Dextropropoxyphene [Chemical/Ingredient]	CHEM	Chemicals & Drugs	CB2TL9PS0T	PROPOXYPHENE HYDROCHLORIDE
DATRIL	DATRIL	1	Map		161	Acetaminophen	CHEM	Chemicals & Drugs	N0000007359	Acetaminophen [Chemical/Ingredient]	CHEM	Chemicals & Drugs	362O9ITL9D	ACETAMINOPHEN
DAYPRO, ASA	ASA	1	Map		1191	Aspirin	CHEM	Chemicals & Drugs	N0000006582	Aspirin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	R16CO5Y76E	ASPIRIN
DAYPRO, ASA	DAYPRO	1	Map		32613	oxaprozin	CHEM	Chemicals & Drugs	N0000006323	oxaprozin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	MHJ80W9LRB	OXAPROZIN
DDI	DDI	1	Map		3364	Didanosine	CHEM	Chemicals & Drugs	N0000006111	Didanosine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	K3GDH6OH08	DIDANOSINE
decaffinated coffee	decaffinated coffee	1	Map	Broader category, Suggest using original text as annotation	891727	coffee bean allergenic extract	CHEM	Chemicals & Drugs	N0000178565	Coffee [Chemical/Ingredient]	OBJC	Objects	JFH385Y744	COFFEE BEAN
declomycin	declomycin	1	Map		3154	Demeclocycline	CHEM	Chemicals & Drugs	N0000006028	Demeclocycline [Chemical/Ingredient]	CHEM	Chemicals & Drugs	29O079NTYT	DEMECLOCYCLINE HYDROCHLORIDE
Deconamin	Deconamin	1	Map		214395	Chlorpheniramine / Pseudoephedrine	CHEM	Chemicals & Drugs	N0000020431	CHLORPHENIRAMINE/PSEUDOEPHEDRINE	CHEM	Chemicals & Drugs		
DECONAMINE = PSEUDOPHEDRINE/CHLORPHENIRAMINE	DECONAMINE = PSEUDOPHEDRINE/CHLORPHENIRAMINE	1	Map		214395	Chlorpheniramine / Pseudoephedrine	CHEM	Chemicals & Drugs	N0000020431	CHLORPHENIRAMINE/PSEUDOEPHEDRINE	CHEM	Chemicals & Drugs		
decongestant	decongestant	2	Map		8896	Pseudoephedrine	CHEM	Chemicals & Drugs	N0000178581	Pseudoephedrine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	7CUC9DDI9F	PSEUDOEPHEDRINE
decongestants	decongestants	5	Map		8896	Pseudoephedrine	CHEM	Chemicals & Drugs	N0000178581	Pseudoephedrine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	7CUC9DDI9F	PSEUDOEPHEDRINE
dehistine expectorant	dehistine expectorant	1	Map		466489	Codeine / Guaifenesin / Pseudoephedrine	CHEM	Chemicals & Drugs	N0000020214	CODEINE/GUAIFENESIN/PHENYLPROPANOLAMINE	CHEM	Chemicals & Drugs		
Demeral	Demeral	1	Map		6754	Meperidine	CHEM	Chemicals & Drugs	N0000006387	Meperidine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	9E338QE28F	MEPERIDINE
demero	demero	1	Map		6754	Meperidine	CHEM	Chemicals & Drugs	N0000006387	Meperidine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	9E338QE28F	MEPERIDINE
demerol	demerol	43	Map		6754	Meperidine	CHEM	Chemicals & Drugs	N0000006387	Meperidine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	N8E7F7Q170	MEPERIDINE HYDROCHLORIDE
Demerol HCl	Demerol HCl	1	Map		6754	Meperidine	CHEM	Chemicals & Drugs	N0000006387	Meperidine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	9E338QE28F	MEPERIDINE
demerol intolerance	demerol intolerance	1	Map		6754	Meperidine	CHEM	Chemicals & Drugs	N0000006387	Meperidine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	9E338QE28F	MEPERIDINE
demerol-pt feels "goofy"	demerol-pt feels "goofy"	1	Map		6754	Meperidine	CHEM	Chemicals & Drugs	N0000006387	Meperidine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	9E338QE28F	MEPERIDINE
demoral	demoral	2	Map		6754	Meperidine	CHEM	Chemicals & Drugs	N0000006387	Meperidine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	9E338QE28F	MEPERIDINE
denies	denies	2	Do not map	No allergies										
dental analgesics	dental analgesics	1	Map	Suggest adding text annotation					N0000029133	[CN100] ANALGESICS	CHEM	Chemicals & Drugs		
dental polish paste	dental polish paste	1	Text annotation only											
deoxycline	deoxycline	1	Map		3640	Doxycycline	CHEM	Chemicals & Drugs	N0000008026	Doxycycline [Chemical/Ingredient]	CHEM	Chemicals & Drugs	N12000U13O	DOXYCYCLINE
DEPAKOTE	DEPAKOTE	1	Map		11118	Valproic Acid	CHEM	Chemicals & Drugs	N0000006250	Valproic Acid [Chemical/Ingredient]	CHEM	Chemicals & Drugs	644VL95AO6	DIVALPROEX SODIUM
DEPAKOTE AND THORAZINE	DEPAKOTE	1	Map		11118	Valproic Acid	CHEM	Chemicals & Drugs	N0000006250	Valproic Acid [Chemical/Ingredient]	CHEM	Chemicals & Drugs	644VL95AO6	DIVALPROEX SODIUM
DEPAKOTE AND THORAZINE	THORAZINE	1	Map		2403	Chlorpromazine	CHEM	Chemicals & Drugs	N0000006947	Chlorpromazine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	U42B7VYA4P	CHLORPROMAZINE
dermabond	dermabond	1	Text annotation only						N0000011363	Tissue Adhesives [Chemical/Ingredient]	CHEM	Chemicals & Drugs	L23GHX71SK	2-OCTYL CYANOACRYLATE
detergents	detergents	4	Text annotation only											
DETROL	DETROL	1	Map		119565	tolterodine	CHEM	Chemicals & Drugs	N0000007085	Tolterodine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	5T619TQR3R	TOLTERODINE TARTRATE
dexon suture	dexon suture	1	Map	Suggest adding text annotation					N0000171519	Polyglycolic Acid [Chemical/Ingredient]	CHEM	Chemicals & Drugs	H1IL6F7KB8	POLYGLYCOLIC ACID
dextran	dextran	1	Map		42635	Dextran	CHEM	Chemicals & Drugs	N0000179304	Dextran [Chemical/Ingredient]	CHEM	Chemicals & Drugs		
Dextrose	Dextrose	1	Map		4850	Glucose	CHEM	Chemicals & Drugs	N0000006402	Glucose [Chemical/Ingredient]	CHEM	Chemicals & Drugs	IY9XDZ35W2	DEXTROSE, UNSPECIFIED FORM
dextrose 10%	dextrose 10%	1	Map		4850	Glucose	CHEM	Chemicals & Drugs	N0000006402	Glucose [Chemical/Ingredient]	CHEM	Chemicals & Drugs	5SL0G7R0OK	ANHYDROUS DEXTROSE
DEXTROSE10	DEXTROSE10	1	Map		4850	Glucose	CHEM	Chemicals & Drugs	N0000006402	Glucose [Chemical/Ingredient]	CHEM	Chemicals & Drugs	5SL0G7R0OK	ANHYDROUS DEXTROSE
DEZERIL	DEZERIL	1	Map		10737	Trazodone	CHEM	Chemicals & Drugs	N0000007040	Trazodone [Chemical/Ingredient]	CHEM	Chemicals & Drugs	YBK48BXK30	TRAZODONE
DHE45	DHE45	1	Map		3418	Dihydroergotamine	CHEM	Chemicals & Drugs	N0000005941	Dihydroergotamine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	436O5HM03C	DIHYDROERGOTAMINE
diabetic pills	diabetic pills	1	Map						N0000008054	Sulfonylurea Compounds [Chemical/Ingredient]	CHEM	Chemicals & Drugs		
DIAL SOAP	DIAL SOAP	2	Map						N0000022760	SOAP	OBJC	Objects		
Diamox is OK	Diamox is OK	1	Text annotation only											
DIAZIDE	DIAZIDE	1	Map		258337	Hydrochlorothiazide / Triamterene	CHEM	Chemicals & Drugs	N0000020146	HYDROCHLOROTHIAZIDE/TRIAMTERENE	CHEM	Chemicals & Drugs		
diclinorol	diclinorol	1	Do not map	Meaning unclear										
diclofenaco	diclofenaco	1	Map		3355	Diclofenac	CHEM	Chemicals & Drugs	N0000008126	Diclofenac [Chemical/Ingredient]	CHEM	Chemicals & Drugs	144O8QL0L1	DICLOFENAC
dicloxacillin	dicloxacillin	1	Map		3356	Dicloxacillin	CHEM	Chemicals & Drugs	N0000007481	Dicloxacillin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	COF19H7WBK	DICLOXACILLIN
dicloxicillin	dicloxicillin	2	Map		3356	Dicloxacillin	CHEM	Chemicals & Drugs	N0000007481	Dicloxacillin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	COF19H7WBK	DICLOXACILLIN
Diet pop or soda	Diet pop or soda	1	Map	Suggest adding text annotation					N0000176009	COLA	CHEM	Chemicals & Drugs		
diethylthiurea	diethylthiurea	1	Text annotation only											
Diflucan	Diflucan	1	Map		4450	Fluconazole	CHEM	Chemicals & Drugs	N0000006331	Fluconazole [Chemical/Ingredient]	CHEM	Chemicals & Drugs	8VZV102JFY	FLUCONAZOLE
diflunasol	diflunasol	1	Map		3393	Diflunisal	CHEM	Chemicals & Drugs	N0000170909	Influenza Vaccines [Chemical/Ingredient]	CHEM	Chemicals & Drugs	7C546U4DEN	DIFLUNISAL
diflunisol	diflunisol	1	Map		3393	Diflunisal	CHEM	Chemicals & Drugs	N0000170909	Influenza Vaccines [Chemical/Ingredient]	CHEM	Chemicals & Drugs	7C546U4DEN	DIFLUNISAL
digoxin	digoxin	1	Map		3407	Digoxin	CHEM	Chemicals & Drugs	N0000170909	Influenza Vaccines [Chemical/Ingredient]	CHEM	Chemicals & Drugs	73K4184T59	DIGOXIN
