Allergy_Free_Text_Description	Mention	Use Count	DECISION	Comment	RxNorm_CUI	RxNorm_Name	UMLS_CUI_2	NDFRT_Full_Name	UNII_Code	UNII_Display_Name	SNOMED_CONCEPTID	SNOMED_FSN	UMLS_CUI
codeine, davocet, keflex,sulfa	keflex	1	Map		2231	Cephalexin	C0007716	Cephalexin [Chemical/Ingredient]	OBN7UDS42Y	CEPHALEXIN	387304003	Cefalexin (substance)	C0007716
codeine, davocet, keflex,sulfa	sulfa	1	Map				C0038760	Sulfonamides [Chemical/Ingredient]			387406002	Sulfonamide (substance)	C0304693
codeine, sulfa and Biaxin	Biaxin	1	Map		21212	Clarithromycin	C0055856	Clarithromycin [Chemical/Ingredient]	H1250JIK0A	CLARITHROMYCIN	387487009	Clarithromycin (substance)	C0055856
codeine, sulfa and Biaxin	codeine	1	Map		2670	Codeine	C0009214	Codeine [Chemical/Ingredient]	Q830PW7520	CODEINE	387494007	Codeine (substance)	C0009214
codeine, sulfa and Biaxin	sulfa	1	Map				C0038760	Sulfonamides [Chemical/Ingredient]			387406002	Sulfonamide (substance)	C0304693
Codeine,Erythromycin,Amoxicillin	Amoxicillin	2	Map		723	Amoxicillin	C0002645	Amoxicillin [Chemical/Ingredient]	804826J2HU	AMOXICILLIN	372687004	Amoxicillin (substance)	C0002645
Codeine,Erythromycin,Amoxicillin	Codeine	2	Map		2670	Codeine	C0009214	Codeine [Chemical/Ingredient]	Q830PW7520	CODEINE	387494007	Codeine (substance)	C0009214
Codeine,Erythromycin,Amoxicillin	Erythromycin	2	Map		4053	Erythromycin	C0014806	Erythromycin [Chemical/Ingredient]	63937KV33D	ERYTHROMYCIN	372694001	Erythromycin (substance)	C0014806
codeine,penicillin,acetaminophen	acetaminophen	1	Map		161	Acetaminophen	C0000970	Acetaminophen [Chemical/Ingredient]	362O9ITL9D	ACETAMINOPHEN	387517004	Paracetamol (substance)	C0000970
codeine,penicillin,acetaminophen	codeine	1	Map		2670	Codeine	C0009214	Codeine [Chemical/Ingredient]	Q830PW7520	CODEINE	387494007	Codeine (substance)	C0009214
codeine,penicillin,acetaminophen	penicillin	1	Map		70618	Penicillin	C0220892	Penicillin [Chemical/Ingredient]			764146007	Penicillin (substance)	C0220892
codeine?	codeine?	1	Map		2670	Codeine	C0009214	Codeine [Chemical/Ingredient]	Q830PW7520	CODEINE	387494007	Codeine (substance)	C0009214
codeinebreakout	codeinebreakout	1	Map	Suggest adding text annotation	2670	Codeine	C0009214	Codeine [Chemical/Ingredient]	Q830PW7520	CODEINE	387494007	Codeine (substance)	C0009214
codiene	codiene	64	Map		2670	Codeine	C0009214	Codeine [Chemical/Ingredient]	Q830PW7520	CODEINE	387494007	Codeine (substance)	C0009214
Codiene, amoxicillin	amoxicillin	2	Map		723	Amoxicillin	C0002645	Amoxicillin [Chemical/Ingredient]	804826J2HU	AMOXICILLIN	372687004	Amoxicillin (substance)	C0002645
Codiene, amoxicillin	Codiene	2	Map		2670	Codeine	C0009214	Codeine [Chemical/Ingredient]	Q830PW7520	CODEINE	387494007	Codeine (substance)	C0009214
codine	codine	6	Map		2670	Codeine	C0009214	Codeine [Chemical/Ingredient]	Q830PW7520	CODEINE	387494007	Codeine (substance)	C0009214
codine, demerol, asa	asa	1	Map		1191	Aspirin	C0004057	Aspirin [Chemical/Ingredient]	R16CO5Y76E	ASPIRIN	387458008	Aspirin (substance)	C0004057
codine, demerol, asa	codine	1	Map		2670	Codeine	C0009214	Codeine [Chemical/Ingredient]	Q830PW7520	CODEINE	387494007	Codeine (substance)	C0009214
codine, demerol, asa	demerol	1	Map		6754	Meperidine	C0353148	Meperidine [Chemical/Ingredient]	N8E7F7Q170	MEPERIDINE HYDROCHLORIDE	387298007	Pethidine (substance)	C0025376
codoene	codoene	1	Map		2670	Codeine	C0009214	Codeine [Chemical/Ingredient]	Q830PW7520	CODEINE	387494007	Codeine (substance)	C0009214
coedine	coedine	1	Map		2670	Codeine	C0009214	Codeine [Chemical/Ingredient]	Q830PW7520	CODEINE	387494007	Codeine (substance)	C0009214
coffee	coffee	6	Map		891727	coffee bean allergenic extract	C1440480	Coffee [Chemical/Ingredient]	JFH385Y744	COFFEE BEAN	29263009	Coffee (substance)	C0009237
cola drinks	cola drinks	1	Map				C1623185	COLA			226481009	Cola drink (substance)	C0452444
cold	cold	1	Do not map	Meaning unclear									
COLD MEDICINE	COLD MEDICINE	2	Map	Suggest adding text annotation			C1875729	[RE000] RESPIRATORY TRACT MEDICATIONS					C1875729
collagen	collagen	2	Map		2714	Collagen	C0009325	Collagen [Chemical/Ingredient]			61472002	Collagen (substance)	C0009325
color dyes	color dyes	1	Map				C2757062	Dyes [MoA]			61789006	Dye (substance)	C0013343
COLUSTROM BOVINE	COLUSTROM BOVINE	1	Map		1310253	Bos taurus colostrum preparation	C0939935	COLOSTRUM	S256WJ3OFQ	BOS TAURUS COLOSTRUM	53875002	Colostrum (substance)	C0009413
comadin	comadin	1	Map		11289	Warfarin	C0043031	Warfarin Sodium [Chemical/Ingredient]	5Q7ZVV76EI	WARFARIN	372756006	Warfarin (substance)	C0043031
combid	combid	3	Text annotation only	Meaning unclear									
compazine	compazine	29	Map		8704	Prochlorperazine	C0033229	Prochlorperazine [Chemical/Ingredient]	YHP6YLT61T	PROCHLORPERAZINE	372853006	Prochlorperazine (substance)	C0033229
compazine iv	compazine iv	1	Map		8704	Prochlorperazine	C0033229	Prochlorperazine [Chemical/Ingredient]	YHP6YLT61T	PROCHLORPERAZINE	372853006	Prochlorperazine (substance)	C0033229
compazine,codeine	codeine	2	Map		2670	Codeine	C0009214	Codeine [Chemical/Ingredient]	Q830PW7520	CODEINE	387494007	Codeine (substance)	C0009214
compazine,codeine	compazine	2	Map		8704	Prochlorperazine	C0033229	Prochlorperazine [Chemical/Ingredient]	YHP6YLT61T	PROCHLORPERAZINE	372853006	Prochlorperazine (substance)	C0033229
Contact	Contact	1	Do not map	Meaning unclear									
CONTACT GEL - EKG DISCS	CONTACT GEL - EKG DISCS	1	Map	Broader category, Suggest using original text as annotation			C0017243	Gel [Dose Form]			468799005	Electrode gel (physical object)	C0181029
contact tablets	contact tablets	1	Map		8896	Pseudoephedrine	C0033798	Pseudoephedrine [Chemical/Ingredient]	7CUC9DDI9F	PSEUDOEPHEDRINE	372900003	Pseudoephedrine (substance)	C0033798
contrast	contrast	7	Map		5933	Iodine	C0021968	Radiographic Contrast Agent [EPC]	9679TC07X4	IODINE	44588005	Iodine (substance)	C0021968
contrast allergy	contrast allergy	2	Map		5933	Iodine	C0021968	Radiographic Contrast Agent [EPC]	9679TC07X4	IODINE	44588005	Iodine (substance)	C0021968
Contrast Dye	Contrast Dye	50	Map		5933	Iodine	C0021968	Radiographic Contrast Agent [EPC]	9679TC07X4	IODINE	44588005	Iodine (substance)	C0021968
Contrast Dye- iodine	Contrast Dye- iodine	1	Map		5933	Iodine	C0021968	Iodinated Contrast Agent for Radiographic Imaging [EPC]	9679TC07X4	IODINE	44588005	Iodine (substance)	C0021968
CONTRAST IODINE, LIPITOR	CONTRAST IODINE	1	Map		5933	Iodine	C0021968	Iodine Compounds [Chemical/Ingredient]	9679TC07X4	IODINE	44588005	Iodine (substance)	C0021968
CONTRAST IODINE, LIPITOR	LIPITOR	1	Map		83367	atorvastatin	C3463896	ATORVASTATIN	48A5M73Z4Q	ATORVASTATIN CALCIUM TRIHYDRATE	373444002	Atorvastatin (substance)	C0286651
Contrast IV dye	Contrast IV dye	1	Map		5933	Iodine	C0021968	Radiographic Contrast Agent [EPC]	9679TC07X4	IODINE	44588005	Iodine (substance)	C0021968
contrasty dye	contrasty dye	1	Map		5933	Iodine	C0021968	Radiographic Contrast Agent [EPC]	9679TC07X4	IODINE	44588005	Iodine (substance)	C0021968
cooking spray	cooking spray	1	Text annotation only										
copaxil	copaxil	1	Do not map	Meaning unclear									
copper	copper	1	Map		2837	Copper	C0009968	Copper [Chemical/Ingredient]	789U1901C5	COPPER	66925006	Copper (substance)	C0009968
corn	corn	4	Map	Close map	892547	corn allergenic extract	C1138842		0N8672707O	CORN	412357001	Corn (substance)	C1138842
corn syrup	corn syrup	1	Map		1310576	Corn syrup	C0790024	CORN SYRUP	9G5L16BK6N	CORN SYRUP	412064009	Corn syrup (substance)	C0790024
corn/wheat	corn	1	Map	Close map	892547	corn allergenic extract	C1138842		0N8672707O	CORN	412357001	Corn (substance)	C1138842
corn/wheat	wheat	1	Map		1441652	Wheat preparation	C0043137	WHEAT	4J2I0SN84Y	WHEAT	412071004	Wheat (substance)	C0043137
corned beef	corned beef	1	Text annotation only								227034009	Corned beef (substance)	C0452959
corticosteroids	corticosteroids	1	Map				C3536709	Corticosteroid [EPC]			304275008	Corticosteroid and corticosteroid derivative (substance)	C0582125
cortisone	cortisone	3	Map		2878	Cortisone	C0010137	Cortisone [Chemical/Ingredient]	V27W9254FZ	CORTISONE	32498003	Cortisone (substance)	C0010137
cortisone cream	cortisone cream	2	Map		2878	Cortisone	C0010137	Cortisone [Chemical/Ingredient]	V27W9254FZ	CORTISONE	32498003	Cortisone (substance)	C0010137
cosmetics, sunscreen	cosmetics	1	Text annotation only								289122001	Cosmetic material (substance)	C0566531
cosmetics, sunscreen	sunscreen	1	Map				C1372912	Sunscreening Activity [PE]					C1372912
cottage cheese	cottage cheese	1	Text annotation only								226814003	Cottage cheese (substance)	C0452761
cotton seed	cotton seed	1	Map	Close map	852440	cotton seed allergenic extract	C0010197	ALLERGENIC EXTRACT, COTTON SEED	DI0ZRJ0MXN	COTTON SEED	260204008	Cotton seed (substance)	C0010197
Cotton wood spices walnuts	Cotton wood	1	Map	Close map	852363	eastern cottonwood pollen extract	C1165664	ALLERGENIC EXTRACT, COTTONWOOD	476DVV63WP	POPULUS DELTOIDES SUBSP. DELTOIDES POLLEN	103587005	Populus deltoides (organism)	C0522460
Cotton wood spices walnuts	spices	1	Text annotation only										
Cotton wood spices walnuts	walnuts	1	Map	Close map	314470	walnut allergenic extract	C0981986	ALLERGENIC EXTRACT, WALNUT	1V3SHR7QB7	ENGLISH WALNUT			C0981986
cough medicine bendryl	bendryl	1	Map		1362	Diphenhydramine Hydrochloride	C0004963	Diphenhydramine [Chemical/Ingredient]	TC2D6JAD40	DIPHENHYDRAMINE HYDROCHLORIDE	19510001	Diphenhydramine hydrochloride (substance)	C0004963
cough medicine bendryl	cough medicine	1	Map				C0003449	Antitussive Agent [TC]			372791003	Antitussive agent (substance)	C0003449
Cough syrup	Cough syrup	1	Map	Suggest adding text annotation			C0003449	Antitussive Agent [TC]			372791003	Antitussive agent (substance)	C0003449
COUMADIN	COUMADIN	3	Map		11289	Warfarin	C0376218	Warfarin Sodium [Chemical/Ingredient]	6153CWM0CL	WARFARIN SODIUM	372756006	Warfarin (substance)	C0043031
couscous	couscous	1	Map	Suggest adding text annotation	1441652	Wheat preparation					227754000	Couscous (substance)	C0453574
Cow's Milk	Cow's Milk	1	Map		892665	cow milk allergenic extract	C0349374	MILK	917J3173FT	COW MILK	3718001	Cow's milk (substance)	C0349374
Cow's Milk,Bread, Sugar	Bread	1	Map		1441652	Wheat preparation	C0043137	WHEAT	4J2I0SN84Y	WHEAT	226559002	Bread (substance)	C0006138
Cow's Milk,Bread, Sugar	Cow's Milk	1	Map		892665	cow milk allergenic extract	C0349374	MILK	917J3173FT	COW MILK	3718001	Cow's milk (substance)	C0349374
Cow's Milk,Bread, Sugar	Sugar	1	Map	Suggest adding text annotation			C0038636	Sucrose [Chemical/Ingredient]	C151H8M554	SUCROSE	74801000	Sugar (substance)	C0242209
cox 2 inhibitor	cox 2 inhibitor	1	Map				C2757001	Cyclooxygenase 2 Inhibitors [MoA]			387050005	Substance with prostaglandin-endoperoxide synthase isoform 2 inhibitor mechanism of action (substance)	C1257954
COX 2 inhibitors	COX 2 inhibitors	1	Map				C2757001	Cyclooxygenase 2 Inhibitors [MoA]			387050005	Substance with prostaglandin-endoperoxide synthase isoform 2 inhibitor mechanism of action (substance)	C1257954
coxibs	coxibs	1	Map				C2757001	Cyclooxygenase 2 Inhibitors [MoA]			387050005	Substance with prostaglandin-endoperoxide synthase isoform 2 inhibitor mechanism of action (substance)	C1257954
cozaar	cozaar	1	Map		52175	Losartan	C0700492	Losartan [Chemical/Ingredient]	3ST302B24A	LOSARTAN POTASSIUM	373567002	Losartan (substance)	C0126174
crab	crab	4	Map	Close map	892610	crab allergenic extract	C1304606	Shellfish Proteins [Chemical/Ingredient]	1G4F72G3PH	SHELLFISH, UNSPECIFIED	230029001	Crab - dietary (substance)	C0459212
crab meat	crab meat	5	Map	Close map	892610	crab allergenic extract	C1304606	Shellfish Proteins [Chemical/Ingredient]	1G4F72G3PH	SHELLFISH, UNSPECIFIED	736159005	Crab (substance)	C1304606
crabfish	crabfish	2	Map	Close map	892610	crab allergenic extract	C1304606	Shellfish Proteins [Chemical/Ingredient]	1G4F72G3PH	SHELLFISH, UNSPECIFIED	736159005	Crab (substance)	C1304606
crabmeat	crabmeat	3	Map	Close map	892610	crab allergenic extract	C1304606	Shellfish Proteins [Chemical/Ingredient]	1G4F72G3PH	SHELLFISH, UNSPECIFIED	736159005	Crab (substance)	C1304606
Crabs	Crabs	1	Map	Close map	892610	crab allergenic extract	C1304606	Shellfish Proteins [Chemical/Ingredient]	1G4F72G3PH	SHELLFISH, UNSPECIFIED	230029001	Crab - dietary (substance)	C0459212
cranberries	cranberries	1	Map	Close map	125933	Cranberry preparation	C0936050	CRANBERRY EXTRACT	0MVO31Q3QS	CRANBERRY	227421003	Cranberries (substance)	C0936050
cream	cream	1	Map	Close map	892665	cow milk allergenic extract	C2825079	MILK	463JZS0XJ3	COW MILK FAT	255621006	Cream (substance)	C0700385
Crestor	Crestor	2	Map		301542	rosuvastatin	C1101751	ROSUVASTATIN	83MVU38M7Q	ROSUVASTATIN CALCIUM	700067006	Rosuvastatin (substance)	C0965129
crustateans	crustateans	1	Map	Suggest adding text annotation	892610	crab allergenic extract					735977009	Marine crustacean (substance)	C2702369
C-Scan	C-Scan	1	Map				C2917425	Radiographic Contrast Agent [EPC]			385420005	Contrast media (substance)	C0009924
CT contrast	CT contrast	1	Map				C2917425	Radiographic Contrast Agent [EPC]			385420005	Contrast media (substance)	C0009924
CT dye	CT dye	4	Map				C2917425	Radiographic Contrast Agent [EPC]			385420005	Contrast media (substance)	C0009924
CT iodine contrast	CT iodine contrast	2	Map		5933	Iodine	C0021968	Iodinated Contrast Agent for Radiographic Imaging [EPC]	9679TC07X4	IODINE	426722004	Iodinated contrast media (substance)	C1960405
Cucumber	Cucumber	2	Map	Close map	1305719	Cucumber extract	C0973457		YY7C30VXJT	CUCUMBER	227241006	Cucumber - dietary (substance)	C0973457
cucumbers	cucumbers	1	Map	Close map	1305719	Cucumber extract					227241006	Cucumber - dietary (substance)	C0973457
curare	curare	1	Map		1712	Botulinum Toxin Type A	C0006050	Botulinum Toxins [Chemical/Ingredient]	E211KPY694	BOTULINUM TOXIN TYPE A	77515003	Curare (substance)	C0010463
cured/processed meats	cured/processed meats	1	Text annotation only										
currently unable to assess allergies	currently unable to assess allergies	1	Do not map										
CURRY	CURRY	1	Text annotation only								227395004	Curry powder (substance)	C0453255
cycline drugs	cycline drugs	1	Map		10395	Tetracycline	C0039644	Tetracyclines [Chemical/Ingredient]	F8VB5M810T	TETRACYCLINE	372809001	Tetracycline (substance)	C0039644
cyclobennzeprine	cyclobennzeprine	1	Map		21949	cyclobenzaprine	C0056732	cyclobenzaprine [Chemical/Ingredient]	69O5WQQ5TI	CYCLOBENZAPRINE	373779004	Cyclobenzaprine (substance)	C0056732
cyclodil	cyclodil	1	Map		3001	Cyclopentolate	C0010582	Cyclopentolate [Chemical/Ingredient]	I76F4SHP7J	CYCLOPENTOLATE	372869004	Cyclopentolate (substance)	C0010582
cyclogel	cyclogel	1	Map		3001	Cyclopentolate	C0010582	Cyclopentolate [Chemical/Ingredient]	I76F4SHP7J	CYCLOPENTOLATE	372869004	Cyclopentolate (substance)	C0010582
cyclosporin	cyclosporin	1	Map		3008	Cyclosporine	C0010592	Cyclosporine [Chemical/Ingredient]	83HN0GTJ6D	CYCLOSPORINE	387467008	Ciclosporin (substance)	C0010592
cylert	cylert	1	Map		7966	Pemoline	C0030800	Pemoline [Chemical/Ingredient]	7GAQ2332NK	PEMOLINE	387393000	Pemoline (substance)	C0030800
cypral	cypral	1	Map		2551	Ciprofloxacin	C0008809	Ciprofloxacin [Chemical/Ingredient]	5E8K9I0O4U	CIPROFLOXACIN	372840008	Ciprofloxacin (substance)	C0008809
dairy	dairy	5	Map		892665	cow milk allergenic extract	C0349374	MILK	917J3173FT	COW MILK	3718001	Cow's milk (substance)	C0349374
Dairy bees pollen dust	bees	1	Map		124427	Honey bee venom	C0004920	Bee Venoms [Chemical/Ingredient]	76013O881M	APIS MELLIFERA VENOM	256439001	Honey bee venom (substance)	C0440459
Dairy bees pollen dust	Dairy	1	Map		892665	cow milk allergenic extract	C0349374	MILK	917J3173FT	COW MILK	3718001	Cow's milk (substance)	C0349374
Dairy bees pollen dust	dust	1	Map		852519	house dust allergenic extract	C0524581	House Dust [Chemical/Ingredient]	EYO007VX98	HOUSE DUST	33008008	Dust (substance)	C0013330
Dairy bees pollen dust	pollen	1	Map				C0795585	Pollen [Chemical/Ingredient]	3729L8MA2C	BEE POLLEN	256259004	Pollen (substance)	C0032385
dairy products	dairy products	10	Map		892665	cow milk allergenic extract	C0349374	MILK	917J3173FT	COW MILK	226760005	Dairy foods (substance)	C0010947
DAPRO	DAPRO	2	Map		32613	oxaprozin	C0069739	oxaprozin [Chemical/Ingredient]	MHJ80W9LRB	OXAPROZIN	108518005	Oxaprozin (substance)	C0069739
Dapsone	Dapsone	3	Map		3108	Dapsone	C0010980	Dapsone [Chemical/Ingredient]	8W5C518302	DAPSONE	387096002	Dapsone (substance)	C0010980
darvocet	darvocet	5	Map		48274	Acetaminophen / Propoxyphene	C1384520	ACETAMINOPHEN/PROPOXYPHENE			350310007	Product containing dextropropoxyphene and paracetamol (medicinal product)	C1384520
darvocett	darvocett	3	Map		48274	Acetaminophen / Propoxyphene	C1384520	ACETAMINOPHEN/PROPOXYPHENE			350310007	Product containing dextropropoxyphene and paracetamol (medicinal product)	C1384520
darvon	darvon	13	Map		8785	Propoxyphene	C0242451	Dextropropoxyphene [Chemical/Ingredient]	CB2TL9PS0T	PROPOXYPHENE HYDROCHLORIDE	387042001	Dextropropoxyphene (substance)	C0033493
DATRIL	DATRIL	1	Map		161	Acetaminophen	C0000970	Acetaminophen [Chemical/Ingredient]	362O9ITL9D	ACETAMINOPHEN	387517004	Paracetamol (substance)	C0000970
DAYPRO, ASA	ASA	1	Map		1191	Aspirin	C0004057	Aspirin [Chemical/Ingredient]	R16CO5Y76E	ASPIRIN	387458008	Aspirin (substance)	C0004057
DAYPRO, ASA	DAYPRO	1	Map		32613	oxaprozin	C0069739	oxaprozin [Chemical/Ingredient]	MHJ80W9LRB	OXAPROZIN	108518005	Oxaprozin (substance)	C0069739
DDI	DDI	1	Map		3364	Didanosine	C0012133	Didanosine [Chemical/Ingredient]	K3GDH6OH08	DIDANOSINE	387105006	Didanosine (substance)	C0012133
decaffinated coffee	decaffinated coffee	1	Map	Broader category, Suggest using original text as annotation	891727	coffee bean allergenic extract	C1440480	Coffee [Chemical/Ingredient]	JFH385Y744	COFFEE BEAN	445571000124101	Coffee bean (substance)	C1440480
declomycin	declomycin	1	Map		3154	Demeclocycline	C0282125	Demeclocycline [Chemical/Ingredient]	29O079NTYT	DEMECLOCYCLINE HYDROCHLORIDE	372779007	Demeclocycline (substance)	C0011276
Deconamin	Deconamin	1	Map		214395	Chlorpheniramine / Pseudoephedrine	C0717592	CHLORPHENIRAMINE/PSEUDOEPHEDRINE			420915007	Product containing chlorphenamine and pseudoephedrine (medicinal product)	C0717592
DECONAMINE = PSEUDOPHEDRINE/CHLORPHENIRAMINE	DECONAMINE = PSEUDOPHEDRINE/CHLORPHENIRAMINE	1	Map		214395	Chlorpheniramine / Pseudoephedrine	C0717592	CHLORPHENIRAMINE/PSEUDOEPHEDRINE			420915007	Product containing chlorphenamine and pseudoephedrine (medicinal product)	C0717592
decongestant	decongestant	2	Map		8896	Pseudoephedrine	C0033798	Pseudoephedrine [Chemical/Ingredient]	7CUC9DDI9F	PSEUDOEPHEDRINE	417901007	Decongestant (substance)	C0282374
decongestants	decongestants	5	Map		8896	Pseudoephedrine	C0033798	Pseudoephedrine [Chemical/Ingredient]	7CUC9DDI9F	PSEUDOEPHEDRINE	372900003	Pseudoephedrine (substance)	C0033798
dehistine expectorant	dehistine expectorant	1	Map		466489	Codeine / Guaifenesin / Pseudoephedrine	C0717647	CODEINE/GUAIFENESIN/PHENYLPROPANOLAMINE					C0717647
Demeral	Demeral	1	Map		6754	Meperidine	C0025376	Meperidine [Chemical/Ingredient]	9E338QE28F	MEPERIDINE	387298007	Pethidine (substance)	C0025376
demero	demero	1	Map		6754	Meperidine	C0025376	Meperidine [Chemical/Ingredient]	9E338QE28F	MEPERIDINE	387298007	Pethidine (substance)	C0025376
demerol	demerol	43	Map		6754	Meperidine	C0353148	Meperidine [Chemical/Ingredient]	N8E7F7Q170	MEPERIDINE HYDROCHLORIDE	387298007	Pethidine (substance)	C0025376
Demerol HCl	Demerol HCl	1	Map		6754	Meperidine	C0025376	Meperidine [Chemical/Ingredient]	9E338QE28F	MEPERIDINE	387298007	Pethidine (substance)	C0025376
demerol intolerance	demerol intolerance	1	Map		6754	Meperidine	C0025376	Meperidine [Chemical/Ingredient]	9E338QE28F	MEPERIDINE	387298007	Pethidine (substance)	C0025376
demerol-pt feels "goofy"	demerol-pt feels "goofy"	1	Map		6754	Meperidine	C0025376	Meperidine [Chemical/Ingredient]	9E338QE28F	MEPERIDINE	387298007	Pethidine (substance)	C0025376
demoral	demoral	2	Map		6754	Meperidine	C0025376	Meperidine [Chemical/Ingredient]	9E338QE28F	MEPERIDINE	387298007	Pethidine (substance)	C0025376
denies	denies	2	Do not map	No allergies									
dental analgesics	dental analgesics	1	Map	Suggest adding text annotation			C0002771	[CN100] ANALGESICS			373265006	Analgesic (substance)	C0002771
dental polish paste	dental polish paste	1	Text annotation only								763445009	Conventional release dental paste (dose form)	
deoxycline	deoxycline	1	Map		3640	Doxycycline	C0013090	Doxycycline [Chemical/Ingredient]	N12000U13O	DOXYCYCLINE	372478003	Doxycycline (substance)	C0013090
DEPAKOTE	DEPAKOTE	1	Map		11118	Valproic Acid	C0886883	Valproic Acid [Chemical/Ingredient]	644VL95AO6	DIVALPROEX SODIUM	387080000	Valproic acid (substance)	C0042291
DEPAKOTE AND THORAZINE	DEPAKOTE	1	Map		11118	Valproic Acid	C0886883	Valproic Acid [Chemical/Ingredient]	644VL95AO6	DIVALPROEX SODIUM	387080000	Valproic acid (substance)	C0042291
DEPAKOTE AND THORAZINE	THORAZINE	1	Map		2403	Chlorpromazine	C0008286	Chlorpromazine [Chemical/Ingredient]	U42B7VYA4P	CHLORPROMAZINE	387258005	Chlorpromazine (substance)	C0008286
dermabond	dermabond	1	Text annotation only				C0040277	Tissue Adhesives [Chemical/Ingredient]	L23GHX71SK	2-OCTYL CYANOACRYLATE	764657001	2-octyl cyanoacrylate (substance)	C0040277
detergents	detergents	4	Text annotation only										
DETROL	DETROL	1	Map		119565	tolterodine	C0724710	Tolterodine [Chemical/Ingredient]	5T619TQR3R	TOLTERODINE TARTRATE	372570008	Tolterodine (substance)	C0388753
dexon suture	dexon suture	1	Map	Suggest adding text annotation			C0032502	Polyglycolic Acid [Chemical/Ingredient]	H1IL6F7KB8	POLYGLYCOLIC ACID	257397005	Dexon suture (physical object)	C0441206
dextran	dextran	1	Map		42635	Dextran	C0086140	Dextran [Chemical/Ingredient]			372650007	Dextran (substance)	C0086140
Dextrose	Dextrose	1	Map		4850	Glucose	C0017725	Glucose [Chemical/Ingredient]	IY9XDZ35W2	DEXTROSE, UNSPECIFIED FORM	67079006	Glucose (substance)	C0017725
dextrose 10%	dextrose 10%	1	Map		4850	Glucose	C1165353	Glucose [Chemical/Ingredient]	5SL0G7R0OK	ANHYDROUS DEXTROSE	67079006	Glucose (substance)	C0017725
DEXTROSE10	DEXTROSE10	1	Map		4850	Glucose	C1165353	Glucose [Chemical/Ingredient]	5SL0G7R0OK	ANHYDROUS DEXTROSE	67079006	Glucose (substance)	C0017725
DEZERIL	DEZERIL	1	Map		10737	Trazodone	C0040805	Trazodone [Chemical/Ingredient]	YBK48BXK30	TRAZODONE	372829000	Trazodone (substance)	C0040805
DHE45	DHE45	1	Map		3418	Dihydroergotamine	C0012291	Dihydroergotamine [Chemical/Ingredient]	436O5HM03C	DIHYDROERGOTAMINE	387267005	Dihydroergotamine (substance)	C0012291
diabetic pills	diabetic pills	1	Map				C0038766	Sulfonylurea Compounds [Chemical/Ingredient]			372711004	Sulfonylurea (substance)	C0038766
DIAL SOAP	DIAL SOAP	2	Map				C0037392	SOAP			25780000	Soap (substance)	C0037392
Diamox is OK	Diamox is OK	1	Text annotation only										
DIAZIDE	DIAZIDE	1	Map		258337	Hydrochlorothiazide / Triamterene	C0813211	HYDROCHLOROTHIAZIDE/TRIAMTERENE			404850000	Product containing hydrochlorothiazide and triamterene (medicinal product)	C0813211
diclinorol	diclinorol	1	Do not map	Meaning unclear									
diclofenaco	diclofenaco	1	Map		3355	Diclofenac	C0012091	Diclofenac [Chemical/Ingredient]	144O8QL0L1	DICLOFENAC	7034005	Diclofenac (substance)	C0012091
dicloxacillin	dicloxacillin	1	Map		3356	Dicloxacillin	C0012093	Dicloxacillin [Chemical/Ingredient]	COF19H7WBK	DICLOXACILLIN	372873001	Dicloxacillin (substance)	C0012093
dicloxicillin	dicloxicillin	2	Map		3356	Dicloxacillin	C0012093	Dicloxacillin [Chemical/Ingredient]	COF19H7WBK	DICLOXACILLIN	372873001	Dicloxacillin (substance)	C0012093
Diet pop or soda	Diet pop or soda	1	Map	Suggest adding text annotation			C1623185	COLA					C1623185
diethylthiurea	diethylthiurea	1	Text annotation only								256148002	Diethylthiourea (substance)	C0057972
Diflucan	Diflucan	1	Map		4450	Fluconazole	C0016277	Fluconazole [Chemical/Ingredient]	8VZV102JFY	FLUCONAZOLE	387174006	Fluconazole (substance)	C0016277
diflunasol	diflunasol	1	Map		3393	Diflunisal	C0012228	Influenza Vaccines [Chemical/Ingredient]	7C546U4DEN	DIFLUNISAL	387116004	Diflunisal (substance)	C0012228
diflunisol	diflunisol	1	Map		3393	Diflunisal	C0012228	Influenza Vaccines [Chemical/Ingredient]	7C546U4DEN	DIFLUNISAL	387116004	Diflunisal (substance)	C0012228
digoxin	digoxin	1	Map		3407	Digoxin	C0012265	Influenza Vaccines [Chemical/Ingredient]	73K4184T59	DIGOXIN	387461009	Digoxin (substance)	C0012265
Dilantin	Dilantin	9	Map		8183	Phenytoin	C0031507	Phenytoin [Chemical/Ingredient]	6158TKW0C5	PHENYTOIN	387220006	Phenytoin (substance)	C0031507
Dilauded	Dilauded	1	Map		3423	Hydromorphone	C0012306	Hydromorphone [Chemical/Ingredient]	Q812464R06	HYDROMORPHONE	44508008	Hydromorphone (substance)	C0012306
dilaudid	dilaudid	20	Map		3423	Hydromorphone	C0700533	Hydromorphone [Chemical/Ingredient]	L960UP2KRW	HYDROMORPHONE HYDROCHLORIDE	44508008	Hydromorphone (substance)	C0012306
DILAUDID -> N/V	DILAUDID -> N/V	1	Map	Suggest adding text annotation	3423	Hydromorphone	C0012306	Hydromorphone [Chemical/Ingredient]	Q812464R06	HYDROMORPHONE	44508008	Hydromorphone (substance)	C0012306
